City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bluff,NZ,9.89,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
1,Juneau,US,12.34,overcast clouds,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
3,Punta Arenas,CL,9.06,scattered clouds,-53.15,-70.9167,Hotel Hain
4,Geraldton,AU,11.23,clear sky,-28.7667,114.6,Broadwater Mariner Resort
5,Kruisfontein,ZA,18.82,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
6,Mataura,NZ,9.71,overcast clouds,-46.1927,168.8643,Ellie's Villa
9,Jamestown,US,15.57,light rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
12,San Martin,AR,16.3,few clouds,-33.081,-68.4681,Finca Vivencias
14,Akdagmadeni,TR,12.97,clear sky,39.6603,35.8836,Hanedan Otel
18,Yellowknife,CA,5.31,broken clouds,62.456,-114.3525,The Explorer Hotel
19,East London,ZA,19.52,clear sky,-33.0153,27.9116,Tu Casa
20,Chengde,CN,12.76,clear sky,40.9725,117.9361,Super 8 Hotel
21,Rikitea,PF,19.8,clear sky,-23.1203,-134.9692,People ThankYou
24,Severo-Kurilsk,RU,10.46,light rain,50.6789,156.125,Kak Doma
27,Hermanus,ZA,18.22,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
28,Victoria Point,AU,17.88,clear sky,-27.5833,153.3,Bay Retreat Motel
30,Xam Nua,LA,17.75,scattered clouds,20.4197,104.0439,Xee Wang Guesthouse
34,Kaitangata,NZ,8.78,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
35,Berlevag,NO,10.0,clear sky,70.8578,29.0864,Kvitbrakka
42,Constitucion,CL,13.13,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
50,Tatarsk,RU,5.11,overcast clouds,55.219,75.9828,Gostinitsa Neptun Tatarsk
52,Wegrow,PL,15.51,overcast clouds,52.3995,22.0163,Everest
55,Petropavlovsk-Kamchatskiy,RU,6.33,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
56,Vestmanna,FO,8.51,light rain,62.1564,-7.1664,Vestmanna Camping
60,Busselton,AU,10.5,clear sky,-33.65,115.3333,Observatory Guest House
64,Ambatofinandrahana,MG,15.8,broken clouds,-20.55,46.8,commune ambatofinandrahana
71,Kiama,AU,15.0,scattered clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
72,Zeya,RU,5.72,moderate rain,53.75,127.2667,Kapital Inn
74,Hobart,AU,8.92,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
75,Tuatapere,NZ,9.32,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
79,Rodionovo-Nesvetayskaya,RU,16.42,few clouds,47.6103,39.7121,Zhemchuzhina
83,Biga,TR,17.01,broken clouds,40.2281,27.2422,Köşdere Otel
87,Zheleznodorozhnyy,RU,8.29,overcast clouds,55.7503,38.0042,Hotel Dali
95,Clyde River,CA,6.13,clear sky,70.4692,-68.5914,Qamaq Hotel
96,Codrington,AU,10.38,light rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
98,Savonlinna,FI,7.03,overcast clouds,61.8699,28.88,Spahotel Casino
102,Bredasdorp,ZA,16.42,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
104,Vardo,NO,7.99,clear sky,70.3705,31.1107,Vardø Hotel AS
