City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,9.89,92,97,1.96,overcast clouds
1,Juneau,US,58.3019,-134.4197,12.34,97,100,4.12,overcast clouds
2,Saint George,US,37.1041,-113.5841,21.55,31,0,2.57,clear sky
3,Punta Arenas,CL,-53.15,-70.9167,9.06,49,40,10.29,scattered clouds
4,Geraldton,AU,-28.7667,114.6,11.23,87,0,4.12,clear sky
5,Kruisfontein,ZA,-34.0033,24.7314,18.82,83,92,4.64,overcast clouds
6,Mataura,NZ,-46.1927,168.8643,9.71,99,100,0.45,overcast clouds
7,Tuktoyaktuk,CA,69.4541,-133.0374,-1.0,93,100,4.12,light snow
8,Albany,US,42.6001,-73.9662,17.19,74,96,0.89,overcast clouds
9,Jamestown,US,42.097,-79.2353,15.57,75,100,4.47,light rain
10,Saskylakh,RU,71.9167,114.0833,-0.82,88,100,6.36,overcast clouds
11,Ipua,BR,-20.4381,-48.0122,32.65,27,53,3.68,broken clouds
12,San Martin,AR,-33.081,-68.4681,16.3,33,18,0.96,few clouds
13,Iqaluit,CA,63.7506,-68.5145,1.85,87,75,5.14,broken clouds
14,Akdagmadeni,TR,39.6603,35.8836,12.97,32,0,0.36,clear sky
15,Lorengau,PG,-2.0226,147.2712,27.6,72,99,4.86,overcast clouds
16,Itacare,BR,-14.2775,-38.9967,26.84,66,32,3.51,scattered clouds
17,Bethel,US,41.3712,-73.414,20.2,71,20,2.06,few clouds
18,Yellowknife,CA,62.456,-114.3525,5.31,81,75,5.14,broken clouds
19,East London,ZA,-33.0153,27.9116,19.52,82,0,9.77,clear sky
20,Chengde,CN,40.9725,117.9361,12.76,49,0,0.54,clear sky
21,Rikitea,PF,-23.1203,-134.9692,19.8,62,9,8.65,clear sky
22,Vanimo,PG,-2.6741,141.3028,25.11,88,34,2.2,scattered clouds
23,Qui Nhon,VN,13.7667,109.2333,25.78,88,67,2.71,broken clouds
24,Severo-Kurilsk,RU,50.6789,156.125,10.46,93,94,5.33,light rain
25,Asfi,MA,32.2994,-9.2372,21.51,69,100,5.09,overcast clouds
26,Victoria,HK,22.2855,114.1577,28.99,80,4,3.58,clear sky
27,Hermanus,ZA,-34.4187,19.2345,18.22,78,100,2.67,overcast clouds
28,Victoria Point,AU,-27.5833,153.3,17.88,90,4,0.88,clear sky
29,Puerto Ayora,EC,-0.7393,-90.3518,22.98,94,100,5.36,overcast clouds
30,Xam Nua,LA,20.4197,104.0439,17.75,100,39,0.81,scattered clouds
31,Bambous Virieux,MU,-20.3428,57.7575,22.34,73,40,5.66,scattered clouds
32,Aljezur,PT,37.3191,-8.8033,21.03,52,0,7.04,clear sky
33,Ushuaia,AR,-54.8,-68.3,4.81,70,75,3.6,broken clouds
34,Kaitangata,NZ,-46.2817,169.8464,8.78,92,100,1.45,overcast clouds
35,Berlevag,NO,70.8578,29.0864,10.0,62,4,3.6,clear sky
36,Porto Walter,BR,-8.2686,-72.7439,34.7,37,66,1.93,broken clouds
37,Reforma,MX,18.1,-91.0167,28.22,76,27,1.99,scattered clouds
38,Chokurdakh,RU,70.6333,147.9167,-0.76,80,99,4.26,overcast clouds
39,Atuona,PF,-9.8,-139.0333,24.73,75,61,9.42,light rain
40,Weihe,CN,32.9952,105.3247,12.1,98,92,0.58,overcast clouds
41,Trinidad,BO,-14.8333,-64.9,31.99,51,20,5.14,smoke
42,Constitucion,CL,-35.3333,-72.4167,13.13,64,42,4.45,scattered clouds
43,Ribeira Grande,PT,38.5167,-28.7,23.22,83,40,11.32,scattered clouds
44,Union,US,40.6334,-74.2663,21.79,68,0,4.12,clear sky
45,Anadyr,RU,64.75,177.4833,-3.72,93,0,4.0,clear sky
46,Biak,ID,-0.9131,122.8766,23.74,77,44,2.79,scattered clouds
47,Tingi,TZ,-11.3,35.0333,20.61,49,33,3.27,scattered clouds
48,Kysyl-Syr,RU,63.8986,122.7617,0.08,95,80,1.79,broken clouds
49,Pangody,RU,65.85,74.4859,-1.41,80,94,5.39,overcast clouds
